,date,country,confirmed,deaths,new_case
19621,5/5/20,US,1204351,71064,1074860.0
19605,5/5/20,Spain,219329,25613,219277.0
19533,5/5/20,Italy,213013,29315,196724.0
19625,5/5/20,United Kingdom,196243,29501,181051.0
19510,5/5/20,France,170687,25537,165275.0
19514,5/5/20,Germany,167007,6993,166403.0
19586,5/5/20,Russia,155370,1451,141533.0
19620,5/5/20,Turkey,129491,3520,128469.0
19471,5/5/20,Brazil,115455,7938,115432.0
19529,5/5/20,Iran,99970,6340,87899.0
19484,5/5/20,China,83968,4637,61952.0
19480,5/5/20,Canada,63215,4190,61111.0
19580,5/5/20,Peru,51189,1444,50758.0
19464,5/5/20,Belgium,50509,8016,32159.0
19527,5/5/20,India,49400,1693,47601.0
19568,5/5/20,Netherlands,41280,5185,41198.0
19500,5/5/20,Ecuador,31881,1569,23401.0
19593,5/5/20,Saudi Arabia,30251,200,30077.0
19610,5/5/20,Switzerland,30009,1795,6793.0
19559,5/5/20,Mexico,26025,2507,25693.0
19583,5/5/20,Portugal,25702,1074,11271.0
19609,5/5/20,Sweden,23216,2854,23206.0
19576,5/5/20,Pakistan,22049,514,19314.0
19483,5/5/20,Chile,22016,275,21846.0
19531,5/5/20,Ireland,21983,1339,19552.0
19598,5/5/20,Singapore,19410,18,19211.0
19463,5/5/20,Belarus,18350,107,18268.0
19584,5/5/20,Qatar,17142,12,-8560.0
19532,5/5/20,Israel,16289,238,-5694.0
19457,5/5/20,Austria,15650,606,8775.0
19535,5/5/20,Japan,15253,556,14780.0
19624,5/5/20,United Arab Emirates,15192,146,2495.0
19582,5/5/20,Poland,14431,716,4747.0
19585,5/5/20,Romania,13837,841,-3305.0
19623,5/5/20,Ukraine,12697,316,12599.0
19528,5/5/20,Indonesia,12071,872,-37329.0
19461,5/5/20,Bangladesh,10929,183,7209.0
19603,5/5/20,South Korea,10806,255,3234.0
19495,5/5/20,Denmark,10019,503,2123.0
19581,5/5/20,Philippines,9684,637,-41505.0
19595,5/5/20,Serbia,9677,200,8348.0
19485,5/5/20,Colombia,8613,378,-75355.0
19499,5/5/20,Dominican Republic,8480,354,8464.0
19574,5/5/20,Norway,7955,215,6429.0
19494,5/5/20,Czechia,7896,257,7018.0
19602,5/5/20,South Africa,7572,148,6737.0
19577,5/5/20,Panama,7523,210,-14526.0
19501,5/5/20,Egypt,7201,452,-24680.0
19456,5/5/20,Australia,6875,97,4256.0
19553,5/5/20,Malaysia,6383,106,6342.0
19540,5/5/20,Kuwait,5804,40,4948.0
19509,5/5/20,Finland,5412,246,5394.0
19564,5/5/20,Morocco,5219,181,4895.0
19454,5/5/20,Argentina,5020,264,4995.0
19450,5/5/20,Algeria,4838,470,4018.0
19560,5/5/20,Moldova,4363,136,-21662.0
19537,5/5/20,Kazakhstan,4205,29,3734.0
19549,5/5/20,Luxembourg,3840,96,2417.0
19460,5/5/20,Bahrain,3720,8,3631.0
19448,5/5/20,Afghanistan,3224,95,3190.0
19525,5/5/20,Hungary,3065,363,1795.0
19615,5/5/20,Thailand,2988,54,2508.0
19572,5/5/20,Nigeria,2950,98,2187.0
19575,5/5/20,Oman,2735,13,-5220.0
19515,5/5/20,Ghana,2719,18,-164288.0
19516,5/5/20,Greece,2642,146,-77.0
19455,5/5/20,Armenia,2619,40,-2401.0
19530,5/5/20,Iraq,2431,102,-97539.0
19627,5/5/20,Uzbekistan,2207,10,1537.0
19491,5/5/20,Croatia,2112,83,648.0
19479,5/5/20,Cameroon,2104,64,1982.0
19458,5/5/20,Azerbaijan,2060,26,-13590.0
19469,5/5/20,Bosnia and Herzegovina,1946,79,144.0
19519,5/5/20,Guinea,1811,10,1048.0
19468,5/5/20,Bolivia,1802,86,1795.0
19526,5/5/20,Iceland,1799,10,-1266.0
19505,5/5/20,Estonia,1711,55,1672.0
19473,5/5/20,Bulgaria,1704,80,1566.0
19492,5/5/20,Cuba,1685,69,-427.0
19573,5/5/20,North Macedonia,1526,86,-1424.0
19569,5/5/20,New Zealand,1488,21,-39792.0
19490,5/5/20,Cote d'Ivoire,1464,18,709.0
19600,5/5/20,Slovenia,1445,98,24.0
19548,5/5/20,Lithuania,1423,46,1341.0
19599,5/5/20,Slovakia,1421,25,-17989.0
19594,5/5/20,Senegal,1329,11,-28922.0
19524,5/5/20,Honduras,1270,93,1259.0
19497,5/5/20,Djibouti,1120,2,408.0
19619,5/5/20,Tunisia,1022,43,906.0
