,date,confirmed,deaths,new_case,mortality
0,2020-01-22,555,17,,0.03063063063063063
1,2020-01-23,654,18,99.0,0.027522935779816515
2,2020-01-24,941,26,287.0,0.02763018065887354
3,2020-01-25,1434,42,493.0,0.029288702928870293
4,2020-01-26,2118,56,684.0,0.02644003777148253
5,2020-01-27,2927,82,809.0,0.02801503245644004
6,2020-01-28,5578,131,2651.0,0.023485120114736465
7,2020-01-29,6166,133,588.0,0.021569899448589037
8,2020-01-30,8234,171,2068.0,0.020767549186300704
9,2020-01-31,9927,213,1693.0,0.021456633423995165
10,2020-02-01,12038,259,2111.0,0.021515201860774213
11,2020-02-10,42762,1013,30724.0,0.023689256816799963
12,2020-02-11,44802,1113,2040.0,0.02484264095352886
13,2020-02-12,46729,1118,1927.0,0.023925185644888613
14,2020-02-13,60368,1371,13639.0,0.022710707659687253
15,2020-02-14,66885,1523,6517.0,0.022770426852059506
16,2020-02-15,69030,1666,2145.0,0.02413443430392583
17,2020-02-16,71224,1770,2194.0,0.024851173761653376
18,2020-02-17,73258,1868,2034.0,0.02549892161948183
19,2020-02-18,75136,2007,1878.0,0.026711563032367974
20,2020-02-19,75639,2122,503.0,0.028054310606962018
21,2020-02-02,16787,362,-58852.0,0.021564305712753917
22,2020-02-20,76197,2247,59410.0,0.02948934997440844
23,2020-02-21,76819,2251,622.0,0.029302646480688373
24,2020-02-22,78572,2458,1753.0,0.03128340884793565
25,2020-02-23,78958,2469,386.0,0.03126978900174777
26,2020-02-24,79561,2629,603.0,0.03304382800618393
27,2020-02-25,80406,2708,845.0,0.03367907867572072
28,2020-02-26,81388,2770,982.0,0.03403450140069789
29,2020-02-27,82746,2814,1358.0,0.034007686172141255
30,2020-02-28,84112,2872,1366.0,0.034144949591021496
31,2020-02-29,86011,2941,1899.0,0.03419330085686714
32,2020-02-03,19881,426,-66130.0,0.02142749358684171
33,2020-02-04,23892,492,4011.0,0.02059266700150678
34,2020-02-05,27635,564,3743.0,0.020408901755020806
35,2020-02-06,30794,634,3159.0,0.020588426316814963
